SiteDataTypeID,ParentID,IsFolder,SortOrder,Source,Name,SiteName,Units,TimeInterval,Parameter,TableName,FileIndex,Provider,ConnectionString,Expression,Notes
System.Int32,System.Int32,System.Boolean,System.Int32,System.String,System.String,System.String,System.String,System.String,System.String,System.String,System.Int32,System.String,System.String,System.String,System.String
342,300,False,91,hydromet,MDFO MN  degrees F,,degrees F,Daily,"Air Temperature, Daily Minimum (Degrees F)",MDFO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=MDFO;pcode=MN,,
343,300,False,92,hydromet,MDFO MX  degrees F,,degrees F,Daily,"Air Temperature, Daily Maximum (Degrees F)",MDFO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=MDFO;pcode=MX,,
344,300,False,86,hydromet,MDFO PP  inches,,inches,Daily,"Precipitation, Daily Total (Inches)",MDFO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=MDFO;pcode=PP,,
345,300,False,94,hydromet,MDFO PU  inches,,inches,Daily,"Cumulative Water Year Precipitation, Oct. 1 to Date (Inches)",MDFO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=MDFO;pcode=PU,,
346,300,False,95,hydromet,"HYA AF  HYATT DAM AND RES NR. ASHLAND, OR.  acre feet","HYATT DAM AND RES NR. ASHLAND, OR.",acre feet,Daily,Reservoir Active Storage (Acre-Feet),HYA_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=HYA;pcode=AF,,
347,300,False,96,hydromet,"HYA FB  HYATT DAM AND RES NR. ASHLAND, OR.  feet","HYATT DAM AND RES NR. ASHLAND, OR.",feet,Daily,Reservoir Water Surface Elevation (Feet),HYA_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=HYA;pcode=FB,,
348,300,False,97,hydromet,"HYA GD  HYATT DAM AND RES NR. ASHLAND, OR.  feet","HYATT DAM AND RES NR. ASHLAND, OR.",feet,Daily,"Gauge Height, Daily Average (Feet)",HYA_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=HYA;pcode=GD,,
349,300,False,98,hydromet,"HYA QD  HYATT DAM AND RES NR. ASHLAND, OR.  cfs","HYATT DAM AND RES NR. ASHLAND, OR.",cfs,Daily,"Discharge, Daily Average (Cubic Feet per Second)",HYA_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=HYA;pcode=QD,,
350,300,False,99,hydromet,"HPD AF  HOWARD PRAIRIE LAKE AND DAM NR. AHSLAND, OR.  acre feet","HOWARD PRAIRIE LAKE AND DAM NR. AHSLAND, OR.",acre feet,Daily,Reservoir Active Storage (Acre-Feet),HPD_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=HPD;pcode=AF,,
351,300,False,100,hydromet,"HPD FB  HOWARD PRAIRIE LAKE AND DAM NR. AHSLAND, OR.  feet","HOWARD PRAIRIE LAKE AND DAM NR. AHSLAND, OR.",feet,Daily,Reservoir Water Surface Elevation (Feet),HPD_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=HPD;pcode=FB,,
352,300,False,101,hydromet,"HPD GJ  HOWARD PRAIRIE LAKE AND DAM NR. AHSLAND, OR.","HOWARD PRAIRIE LAKE AND DAM NR. AHSLAND, OR.",,Daily,,HPD_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=HPD;pcode=GJ,,
353,300,False,102,hydromet,"HPD QJ  HOWARD PRAIRIE LAKE AND DAM NR. AHSLAND, OR.  cfs","HOWARD PRAIRIE LAKE AND DAM NR. AHSLAND, OR.",cfs,Daily,"Canal Discharge, Daily Average (Cubic Feet per Second)",HPD_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=HPD;pcode=QJ,,
354,300,False,103,hydromet,"HPD WZ  HOWARD PRAIRIE LAKE AND DAM NR. AHSLAND, OR.  degrees F","HOWARD PRAIRIE LAKE AND DAM NR. AHSLAND, OR.",degrees F,Daily,"Water Temperature, Daily Average (Degrees F)",HPD_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=HPD;pcode=WZ,,
355,300,False,104,hydromet,EGSO GD  feet,,feet,Daily,"Gauge Height, Daily Average (Feet)",EGSO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=EGSO;pcode=GD,,
356,300,False,105,hydromet,EGSO QD  cfs,,cfs,Daily,"Discharge, Daily Average (Cubic Feet per Second)",EGSO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=EGSO;pcode=QD,,
357,300,False,106,hydromet,GSPO QD  cfs,,cfs,Daily,"Discharge, Daily Average (Cubic Feet per Second)",GSPO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=GSPO;pcode=QD,,
358,300,False,107,hydromet,GSPO WZ  degrees F,,degrees F,Daily,"Water Temperature, Daily Average (Degrees F)",GSPO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=GSPO;pcode=WZ,,
359,300,False,108,hydromet,BCTO GD  feet,,feet,Daily,"Gauge Height, Daily Average (Feet)",BCTO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=BCTO;pcode=GD,,
360,300,False,109,hydromet,BCTO QD  cfs,,cfs,Daily,"Discharge, Daily Average (Cubic Feet per Second)",BCTO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=BCTO;pcode=QD,,
361,300,False,111,hydromet,"BASO GD  Bear Creek below Ashland Creek, OR  feet","Bear Creek below Ashland Creek, OR",feet,Daily,"Gauge Height, Daily Average (Feet)",BASO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=BASO;pcode=GD,,
362,300,False,110,hydromet,"BASO QD  Bear Creek below Ashland Creek, OR  cfs","Bear Creek below Ashland Creek, OR",cfs,Daily,"Discharge, Daily Average (Cubic Feet per Second)",BASO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=BASO;pcode=QD,,
363,300,False,113,hydromet,"BASO WZ  Bear Creek below Ashland Creek, OR  degrees F","Bear Creek below Ashland Creek, OR",degrees F,Daily,"Water Temperature, Daily Average (Degrees F)",BASO_HydrometDaily,0,HydrometDailySeries,server=PN;cbtt=BASO;pcode=WZ,,
364,1,True,109,,Data Loggers,,,,,,0,,,,
365,364,True,109,,Ashland Creek,,,,,,0,,,,
366,365,True,110,,30 minute data,,,,,,0,,,,
367,366,False,111,cr10x,Average Battery,Ashland Creek,volts,Irregular,,ASH_CRK_111,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=30;ColumnNumber=5,,
368,366,False,112,cr10x,Average Divr_HGT,Ashland Creek,feet,Irregular,,ASH_CRK_112,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=30;ColumnNumber=6,,
369,366,False,113,cr10x,Average Divr_Cfs,Ashland Creek,cfs,Irregular,,ASH_CRK_113,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=30;ColumnNumber=7,,
370,366,False,114,cr10x,Average Creek_HGT,Ashland Creek,feet,Irregular,,ASH_CRK_114,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=30;ColumnNumber=8,,
371,366,False,115,cr10x,Average Creek_Cfs,Ashland Creek,cfs,Irregular,,ASH_CRK_115,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=30;ColumnNumber=9,,
372,366,False,116,cr10x,CREEK_TMP,Ashland Creek,,Irregular,,ASH_CRK_116,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=30;ColumnNumber=10,,
373,365,True,117,,24 hour data,,,,,,0,,0,,
374,373,False,118,cr10x,Average Battery,Ashland Creek,volts,Irregular,,ASH_CRK_118,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=5,,
